day	hour	value
1	1	48
1	2	47
1	3	47
1	4	35
1	5	40
1	6	25
1	7	34
1	8	10
1	9	8
1	10	4
1	11	12
1	12	7
1	13	2
1	14	4
1	15	2
1	16	11
1	17	24
1	18	6
1	19	10
1	20	21
1	21	14
1	22	20
1	23	27
1	24	34
1	25	28
1	26	25
1	27	25
1	28	26
1	29	51
1	30	43
1	31	22
1	32	30
1	33	37
1	34	24
1	35	32
1	36	50
1	37	37
1	38	25
1	39	51
1	40	34
1	41	30
1	42	37
1	43	36
1	44	26
1	45	26
1	46	28
1	47	41
1	48	69
2	1	28
2	2	30
2	3	36
2	4	39
2	5	44
2	6	29
2	7	30
2	8	15
2	9	14
2	10	8
2	11	2
2	12	3
2	13	5
2	14	4
2	15	10
2	16	11
2	17	10
2	18	12
2	19	6
2	20	7
2	21	6
2	22	8
2	23	26
2	24	32
2	25	17
2	26	35
2	27	24
2	28	27
2	29	35
2	30	21
2	31	27
2	32	38
2	33	29
2	34	31
2	35	29
2	36	35
2	37	29
2	38	30
2	39	43
2	40	33
2	41	31
2	42	27
2	43	55
2	44	25
2	45	34
2	46	31
2	47	24
2	48	36
3	1	26
3	2	35
3	3	30
3	4	27
3	5	43
3	6	27
3	7	30
3	8	17
3	9	14
3	10	13
3	11	4
3	12	4
3	13	4
3	14	2
3	15	11
3	16	3
3	17	4
3	18	11
3	19	6
3	20	17
3	21	23
3	22	11
3	23	19
3	24	24
3	25	23
3	26	25
3	27	40
3	28	30
3	29	40
3	30	49
3	31	38
3	32	42
3	33	43
3	34	31
3	35	57
3	36	26
3	37	55
3	38	31
3	39	42
3	40	55
3	41	57
3	42	43
3	43	32
3	44	59
3	45	36
3	46	34
3	47	45
3	48	28
4	1	62
4	2	22
4	3	26
4	4	51
4	5	5
4	6	15
4	7	15
4	8	2
4	9	8
4	10	12
4	11	5
4	12	4
4	13	6
4	14	16
4	15	10
4	16	24
4	17	43
4	18	37
4	19	28
4	20	29
4	21	23
4	22	20
4	23	40
4	24	69
4	25	41
4	26	90
4	27	60
4	28	79
4	29	43
4	30	45
4	31	49
4	32	55
4	33	49
4	34	82
4	35	71
4	36	54
4	37	84
4	38	110
4	39	90
4	40	92
4	41	68
4	42	84
4	43	67
4	44	63
4	45	53
4	46	34
4	47	44
4	48	34
5	1	34
5	2	30
5	3	26
5	4	17
5	5	6
5	6	5
5	7	6
5	8	8
5	9	8
5	10	3
5	11	8
5	12	2
5	13	9
5	14	23
5	15	23
5	16	27
5	17	40
5	18	28
5	19	29
5	20	43
5	21	67
5	22	59
5	23	44
5	24	83
5	25	63
5	26	52
5	27	46
5	28	60
5	29	85
5	30	52
5	31	65
5	32	56
5	33	79
5	34	69
5	35	87
5	36	72
5	37	67
5	38	84
5	39	59
5	40	86
5	41	73
5	42	63
5	43	61
5	44	58
5	45	67
5	46	49
5	47	43
5	48	28
6	1	31
6	2	38
6	3	29
6	4	23
6	5	26
6	6	11
6	7	7
6	8	11
6	9	5
6	10	8
6	11	2
6	12	8
6	13	7
6	14	11
6	15	14
6	16	28
6	17	32
6	18	43
6	19	39
6	20	40
6	21	50
6	22	45
6	23	54
6	24	52
6	25	54
6	26	51
6	27	54
6	28	98
6	29	57
6	30	71
6	31	65
6	32	65
6	33	79
6	34	83
6	35	81
6	36	56
6	37	75
6	38	94
6	39	68
6	40	87
6	41	77
6	42	93
6	43	74
6	44	75
6	45	49
6	46	66
6	47	61
6	48	38
7	1	53
7	2	38
7	3	26
7	4	19
7	5	14
7	6	19
7	7	4
7	8	5
7	9	9
7	10	1
7	11	9
7	12	3
7	13	6
7	14	15
7	15	18
7	16	14
7	17	30
7	18	42
7	19	22
7	20	39
7	21	38
7	22	47
7	23	51
7	24	64
7	25	72
7	26	60
7	27	47
7	28	57
7	29	64
7	30	62
7	31	71
7	32	54
7	33	67
7	34	84
7	35	64
7	36	56
7	37	54
7	38	96
7	39	94
7	40	77
7	41	80
7	42	65
7	43	65
7	44	57
7	45	62
7	46	53
7	47	50
7	48	51
